n,,q,,p,te,P
769,,3.46963995,,4.250318125,26.31355575,624.156101
769,,5.179385814,,4.243940375,27.02528988,759.7348757
769,,6.619552481,,4.430491875,27.04443963,904.0424399
769,,8.247882008,,4.28539625,27.4625435,1059.040356
769,,9.885257379,,4.31887975,24.64114013,1216.111768
769,,11.46654622,,4.288585125,25.77416988,1378.309558
769,,13.12020516,,4.21524025,24.51028325,1545.387451
769,,14.71053984,,4.373091375,27.34764475,1728.733814
769,,16.2701175,,4.513403375,27.2359375,1910.52599
769,,17.96538934,,4.415344625,25.54118075,2128.595326
769,,2.06565829,,5.20220875,26.25929788,520.6348606
769,,3.612571096,,5.57690575,26.33908888,702.1147736
769,,5.01836202,,5.431013,26.929541,879.3187866
769,,6.56346585,,5.863110625,28.39450025,1070.704522
769,,8.227980096,,5.651047875,27.74659875,1268.843303
769,,9.856309431,,5.8527465,25.11988513,1474.587077
769,,11.47740161,,5.274756375,25.6911875,1670.957141
769,,13.08944766,,6.307963875,28.37215863,1898.458667
769,,2.080132408,,5.93884725,27.16891338,549.3173152
769,,3.531154663,,6.4985015,26.31036413,786.3348021
769,,5.09073213,,6.674688875,26.92634925,1007.099353
769,,6.67744876,,7.054966625,26.99337363,1243.126672
769,,8.322061382,,7.218398375,27.90618025,1490.151855
769,,9.905159387,,7.231153875,27.20721288,1669.815097
769,,2.166976443,,6.8349315,27.146572,569.1351112
769,,3.632472912,,9.163635,27.823198,872.9407228
769,,5.139582182,,8.737117875,26.02950038,1138.715698
769,,6.767911517,,7.870530875,27.05720625,1423.966688
769,,8.264165103,,9.000203125,26.44441263,1726.157934
769,,2.212207773,,7.164984125,28.13916938,565.7939637
769,,3.547437949,,10.04536938,27.45296863,964.1067232
769,,5.107015416,,9.975213125,26.13163275,1279.870551
769,,6.670211605,,10.27656525,27.6444665,1614.29292
769,,3.590860015,,11.9164635,27.42424375,1056.576623
769,,5.090732226,,11.40623775,29.45412213,1419.745263
769,,3.648756295,,13.30922113,28.04022913,1157.159546
769,,5.213761556,,13.0413525,27.61574175,1577.47749
769,,3.710672874,,14.43162956,28.27889222,1256.775228
789,,8.240164399,,0.589218857,25.530238,521.6645082
